Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
21-7-2021 13:48:20,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",2.000-4.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 300€,Less then 15% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:49:41,I am in my 20's,...Dutch,Province of West Flanders,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),10.000-12.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:50:21,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,4.000-6.000€,Between 0 and 25k€,Between 400 and 450k€,Up to 500€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:51:28,I am in my 20's,,Province of Namur,ETORO,Before 45 years of age,Crypto currency,"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",8.000-10.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 500€,Less then 10% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:51:47,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),TAK21 Pension saving,More then 20.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 500€,Less then 30% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:56:31,I am in my 30's,....French,Province of Flemish Brabant,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual share funds, Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",8.000-10.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:56:33,I am younger then 20 years of age,...Dutch,Province of Flemish Brabant,Bolero,,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,4.000-6.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 300€,Less then 90% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:56:40,I am in my 20's,...Dutch,Province of West Flanders,"Just starting out, still have to choose one",Before 45 years of age,Crypto currency,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),18.000-20.000€,Between 25 and 50k€,Between 2.2M€ and 2.4M€,Up to 1000€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:57:15,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Options, Single shares or bonds",More then 20.000€,Between 400 and 450k€,Between 2.4M€ and 2.6M€,Up to 3000€,More then 95%,single person trying to reach FIRE (1 person)
21-7-2021 13:58:21,I am in my 20's,....French,Province of Walloon Brabant,Keytrade,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,More then 20.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 1600€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:59:09,I am in my 20's,...Dutch,Province of West Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, TAK21 Pension saving",More then 20.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1400€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:02:11,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,0 - 2.000€,Between 0 and 25k€,Between 550 and 600k€,Up to 1800€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:02:36,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,6.000-8.000€,Between 50 and 75k€,Between 400 and 450k€,Up to 1500€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:04:39,I am in my 20's,....French,Brussels Capital Region,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",18.000-20.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1000€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:05:05,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Crypto currency, REIT ETF's (ETF's which buy's shares of multiple REIT's)",4.000-6.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 100€,Less then 10% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:06:33,I am in my 40's,...Dutch,Province of East Flanders,BinckBank,Before 50 years of age,Single shares or bonds,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),More then 20.000€,More then 1M€,Between 2.4M€ and 2.6M€,Up to 1000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:09:10,I am in my 30's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Single shares or bonds,Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),More then 20.000€,Between 100 and 125k€,Between 1M€ and 1.2M€,Up to 1100€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:10:06,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,8.000-10.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 300€,Less then 10% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:10:17,I am in my 20's,...Dutch,Province of West Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Equity REIT's (investment company investing in Real Estate), Single shares or bonds",4.000-6.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 800€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:10:59,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Single shares or bonds,,0 - 2.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1400€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:11:30,I am in my 40's,...Dutch,Province of West Flanders,"Just starting out, still have to choose one",Before 60 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),Mutual share funds,More then 20.000€,Between 250 and 300k€,,Up to 3000€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:11:30,I am in my 30's,...Dutch,Brussels Capital Region,Bux Zero,Before 60 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",More then 20.000€,Between 25 and 50k€,Between 800 and 900k€,Up to 3000€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:11:50,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 45 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc...",4.000-6.000€,Between 300 and 350k€,Between 1M€ and 1.2M€,Up to 3000€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:13:45,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 50 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",More then 20.000€,Between 75 and 100k€,Between 900 and 1M€,Up to 1300€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:16:07,I am in my 20's,...Dutch,Province of West Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Mutual share funds",0 - 2.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 200€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:16:11,I am in my 20's,...Dutch,Province of West Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, TAK21 Pension saving",6.000-8.000€,Between 75 and 100k€,Between 900 and 1M€,Up to 2400€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:16:22,I am in my 30's,Portuguese,Province of Flemish Brabant,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 500€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:17:13,I am in my 40's,Romanian,Province of Flemish Brabant,Bolero,I don't think I will FIRE before I officially retire (67),TAK21 Pension saving,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK23 Pension saving",More then 20.000€,Between 0 and 25k€,Between 400 and 450k€,Up to 1000€,Less then 5% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:22:15,I am in my 30's,Italian,Province of Flemish Brabant,Interactive Brokers,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Single shares or bonds",2.000-4.000€,Between 200 and 250k€,Between 1M€ and 1.2M€,Up to 500€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:22:19,I am in my 20's,...Dutch,I am living in another country,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,10.000-12.000€,Between 250 and 300k€,Between 450 and 500k€,Up to 500€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:22:34,I am in my 40's,....French,Brussels Capital Region,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Equity REIT's (investment company investing in Real Estate)",8.000-10.000€,Between 400 and 450k€,Between 2.4M€ and 2.6M€,Up to 1500€,Less then 40% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:23:10,I am in my 20's,....French,Province of Namur,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",6.000-8.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 400€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:26:48,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 35 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds, TAK23 Pension saving",4.000-6.000€,Between 50 and 75k€,Between 300 and 350k€,Up to 1200€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:26:52,I am in my 30's,...Dutch,Province of Flemish Brabant,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds, TAK23 Pension saving",18.000-20.000€,Between 25 and 50k€,Between 900 and 1M€,Up to 1500€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:27:04,I am in my 20's,...Dutch,Province of West Flanders,Bolero,Before 67 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1200€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:27:21,I am in my 30's,...Dutch,Province of West Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"TAK21 Pension saving, TAK23 Pension saving",2.000-4.000€,Between 0 and 25k€,Between 800 and 900k€,Up to 1000€,Less then 20% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:29:36,I am in my 20's,Greek,Brussels Capital Region,Trading212,Before 40 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Options",0 - 2.000€,Between 0 and 25k€,Between 1.8M€ and 2M€,Up to 1200€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:29:47,I am in my 30's,...English,Brussels Capital Region,Interactive Brokers,Before 67 years of age,Single shares or bonds,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),2.000-4.000€,Between 0 and 25k€,Between 50 and 75k€,Up to 400€,Less then 10% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:29:53,I am in my 20's,...Dutch,Province of West Flanders,Crelan,Before 40 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),Mutual share funds,4.000-6.000€,Between 75 and 100k€,Between 3M€ and 3.5M€,Up to 2600€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:30:39,,,,,,,,,,,,,
21-7-2021 14:32:10,I am in my 30's,...Dutch,Province of East Flanders,BinckBank,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,4.000-6.000€,Between 75 and 100k€,Between 350 and 400k€,Up to 500€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:32:16,I am in my 20's,...Dutch,Province of Flemish Brabant,BNP Paribas Fortis,Before 40 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK21 Pension saving",2.000-4.000€,Between 0 and 25k€,Between 250 and 300k€,Up to 1200€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:35:08,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Mutual share funds,2.000-4.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 200€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:36:52,I am in my 20's,....French,Brussels Capital Region,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),110% in ETFs,2.000-4.000€,Between 0 and 25k€,Between 450 and 500k€,,,couple trying to reach FIRE (2 person)
